,Team Payroll,Season Wins
0,123932983.0,85
1,116038416.0,82
2,78042999.0,93
3,79423163.0,69
4,63812833.0,79
5,112688666.0,64
6,75105500.0,81
7,74284833.0,81
8,53639833.0,94
9,60718167.0,65
10,73516666.0,70
11,66202713.0,82
12,52067546.0,90
13,59684226.0,76
14,62329166.0,77
15,70204984.0,51
16,80640333.0,84
17,102820000.0,98
18,81206513.0,92
19,81027333.0,85
20,70046818.0,100
21,113778369.0,97
22,83306041.0,90
23,137339527.0,72
24,60352791.0,68
25,81247648.0,67
26,110897341.0,79
27,73600692.0,96
28,83309942.0,94
29,87002692.0,89
30,84423667.0,91
31,96726166.0,86
32,102424018.0,72
33,87290833.0,84
34,90156876.0,79
35,86457302.0,90
36,88507788.0,96
37,106243667.0,101
38,93470367.0,101
39,91851587.0,88
40,84537836.0,95
41,79256599.0,103
42,72722906.0,54
43,148160873.0,47
44,137724237.0,75
45,133324358.0,89
46,104378208.0,81
47,107406623.0,96
48,81637464.0,85
49,81428999.0,93
50,85304038.0,69
51,81612500.0,66
52,67101666.0,64
53,67196248.0,68
54,93554808.0,69
55,72585582.0,70
56,73914333.0,74
57,51212653.0,78
58,73877500.0,71
59,60493487.0,67
60,72426328.0,63
61,81447435.0,74
62,75443363.0,78
63,222171123.0,84
64,206247686.0,108
65,173704598.0,93
66,160606261.0,93
67,146494748.0,78
68,162817411.0,71
69,156522142.0,97
70,173186617.0,69
71,161762475.0,90
72,162747333.0,89
73,121745999.0,95
74,133440037.0,95
75,143026214.0,96
76,120099824.0,86
77,123505125.0,95
78,125208542.0,98
79,99946500.0,95
80,108366060.0,93
81,109558908.0,82
82,77940333.0,85
83,72330656.0,94
84,210358488.0,84
85,175310002.0,95
86,168263502.0,92
87,172855456.0,103
88,116265880.0,97
89,89007857.0,73
90,103456533.0,66
91,88197033.0,61
92,125047329.0,71
93,146859000.0,75
94,134809000.0,83
95,118595833.0,97
96,99670332.0,85
97,94424499.0,66
98,87032933.0,79
99,91101667.0,89
100,79868333.0,88
101,75690833.0,67
102,64015833.0,88
103,60539333.0,65
104,55419648.0,67
105,89354534.0,72
106,86050333.0,62
107,97134500.0,67
108,97507000.0,78
109,90636200.0,76
110,91159254.0,73
111,117040777.0,63
112,96919500.0,85
113,127789000.0,79
114,108273197.0,88
115,96068500.0,79
116,121152667.0,89
117,108671833.0,72
118,102750667.0,90
119,75178000.0,99
120,76212500.0,83
121,51010000.0,86
122,57052833.0,81
123,62363000.0,83
124,31133500.0,95
125,24535000.0,75
126,126423214.0,75
127,96676785.0,67
128,81840785.0,68
129,89955059.0,68
130,116732284.0,64
131,112390772.0,76
132,90025772.0,90
133,82203616.0,97
134,75947134.0,79
135,72386544.0,91
